Price,Address,Squares,Rooms,Floor
750 €,"Opština Voždovac, Vojvode Stepe, Kačerska",80 m2,3.0,N/A
800 €,"Opština Stari grad, Studentski trg, Gospodar Jevremova","52,50 m2",1.5,I/3
1.200 €,"Opština Stari grad, Dorćol, Visokog Stevana",60 m2,3.0,II/6
700 €,"Opština Zvezdara, Vukov Spomenik, Ćirila i Metodija",65 m2,3.0,III/6
990 €,"Opština Novi Beograd, Blok 65, Blok 65",54 m2,2.0,VII/9
900 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",62 m2,2.0,III/6
400 €,"Opština Novi Beograd, Fontana, Pariske komune",36 m2,1.5,I/8
600 €,"Opština Novi Beograd, Blok 67 (Belvil), Jurija Gagarina",31 m2,1.0,V/10
800 €,"Opština Stari grad, Skadarlija, Skadarska",70 m2,2.0,I/5
1.000 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",55 m2,2.0,XXI/23
2.200 €,"Opština Savski venac, Beograd na vodi",89 m2,3.0,II/8
600 €,"Opština Novi Beograd, Blok 61, Jurija Gagarina",65 m2,3.0,I/9
250 €,"Opština Zvezdara, Mirijevo, Matice srpske",32 m2,1.0,IV/5
1.500 €,"Opština Novi Beograd, Blok 65, Bulevar heroja sa Košara",90 m2,4.0,II/11
700 €,"Opština Stari grad, Kosančićev venac",70 m2,3.0,PR/3
800 €,"Opština Voždovac, Lekino brdo, ",51 m2,2.0,II/4
750 €,"Opština Novi Beograd, Blok 21, Bulevar Zorana Djindjica 12",53 m2,2.0,I/11
600 €,"Opština Voždovac, Braće Jerković, Meštrovićeva",62 m2,2.5,IV/4
700 €,"Opština Palilula, Višnjička Banja, Slanački put","67,30 m2",2.5,II/6
2.100 €,"Opština Novi Beograd, Blok 65, Bulevar heroja sa Košara",105 m2,4.0,VI/9
600 €,"Opština Vračar, Centar, Tomaša Ježa",40 m2,1.5,II/4
300 €,"Opština Voždovac, Vitanovačka, Podravska",21 m2,1.5,PR/2
900 €,"Opština Zvezdara, Bulbulder, Živojina Žujovića",58 m2,2.5,II/4
850 €,"Opština Stari grad, Politika, Hilandarska",56 m2,2.0,III/5
650 €,"Opština Zvezdara, Kluz, Vojvode Blažete",82 m2,4.0,PR/6
999 €,"Opština Novi Beograd, Blok 64, Ulica Jurija Gagarina 26A",90 m2,4.0,VI/7
550 €,"Opština Zvezdara, Mirijevo, Dva bela goluba",47 m2,2.0,VPR/5
300 €,"Opština Novi Beograd, Bežanijska kosa 1, Vasilija Djurovica",60 m2,2.0,PSUT/1
499 €,"Opština Novi Beograd, Blok 9a, Bulevar Marsala Tolbuhina",46 m2,1.5,II/9
1.000 €,"Opština Vračar, Maksima Gorkog, Maksima Gorkog, Vracar",56 m2,2.0,V/6
350 €,"Opština Zvezdara, Mirijevo, 16. oktobra",45 m2,2.0,VIII/11
500 €,"Opština Vračar, Čubura, Cara Nikolaja II",45 m2,1.5,III/4
600 €,"Opština Voždovac, Naselje Stepa Stepanović, ","45,50 m2",2.0,I/7
600 €,"Opština Zvezdara, Mirijevo, Bulevar Kralja Aleksandra",50 m2,2.0,I/10
600 €,"Opština Zvezdara, Đeram pijaca, Đuke Dinić",45 m2,1.5,IV/6
400 €,"Opština Zvezdara, Medaković 3, Radoslava Bokšića",55 m2,1.5,VPR/4
300 €,"Opština Voždovac, Medaković 2, Ignjata Joba",28 m2,1.0,II/5
350 €,"Opština Zvezdara, Mirijevo, Kapetana Miloša Žunjića",35 m2,1.5,PR/5
550 €,"Opština Palilula, Višnjička Banja, Mirka Milojkovića",45 m2,2.0,III
470 €,"Opština Surčin, Surčin (mesto), Mome Kapora",54 m2,2.0,N/A
699 €,"Opština Stari grad, Gundulićev venac, Gundulićev venac",40 m2,2.0,II/4
550 €,"Opština Voždovac, Naselje Stepa Stepanović, 2. srpske armije",44 m2,2.0,VPR/6
350 €,"Opština Palilula, Kotež, Sutjeska ulica 7.",30 m2,0.5,II/5
1.700 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",84 m2,3.0,VI
850 €,"Opština Zemun, Gornji grad, Zemunski stadion",65 m2,3.0,I/3
500 €,"Opština Novi Beograd, Blok 62, Jurija Gagarina",46 m2,1.5,IV/19
850 €,"Opština Novi Beograd, Blok 67a (A blok), Jurija Ggarina",51 m2,2.0,V/15
550 €,"Opština Zemun, Prvomajska, Đorđa Čutukovića",47 m2,2.0,II/2
550 €,"Opština Novi Beograd, Blok 30 (B92), Bulevar Mihajla Pupina",45 m2,1.5,V/16
450 €,"Opština Novi Beograd, Fontana, Bulevar Zorana Đinđića",35 m2,2.0,VI/8
790 €,"Opština Zemun, Retenzija, Radoja Dakića",48 m2,2.0,IV/6
550 €,"Opština Voždovac, Lekino brdo, Rade Končara",48 m2,2.0,I/4
